Author,Original,Translated,Score,Category
@mime924,"Nagumo takes nothing, Diff is way lower, no-low diff at best","Nagumo takes nothing, Diff is way lower, no-low diff at best",0.4588,Positive
@Mastermind-SCD,"W edit AND take.

I'd give thinking to Takuya, but it's extremely close.","W edit AND take.

I'd give thinking to Takuya, but it's extremely close.",0.0,Neutral
@neofortrix6094,Fax,Fax,0.0,Neutral
@KanaSetting,Takuya mid diffs imo,Takuya mid diffs imo,0.0,Neutral
@Cardina__19,w,w,0.0,Neutral
@DeduLyBritannia,"Thinking and Tactics to Yagami, Diff is Mid Diff, W edit","Thinking and Tactics to Yagami, Diff is Mid Diff, W edit",0.0,Neutral
@newtiktok398,Takuya (prime) no diff.,Takuya (prime) no diff.,-0.296,Negative
@Niggexp38,"Takuya gets Thinking and Foresight and High Diff and he looks better than Niggumo, make mog battles.","Takuya gets Thinking and Foresight and High Diff and he looks better than Niggumo, make mog battles.",0.0772,Positive
@intelligent-ass8518,Thanks for not having it at mid diff. Or no diff.,Thanks for not having it at mid diff. Or no diff.,0.1779,Positive
@Crimzine,Fair diff icl 🎉,Fair diff icl 🎉,0.6124,Positive
@Ayanogoat.,🤦‍♂️🤦‍♂️🤦‍♂️w edit,🤦‍♂️🤦‍♂️🤦‍♂️w edit,0.0,Neutral
@Lord_of_cap,"Nagumo mid diff at best








in mogging🧏‍♂️🤫","Nagumo mid diff at best








in mogging🧏‍♂️🤫",0.6369,Positive
@02_._.,Takuya takes everything,Takuya takes everything,0.0,Neutral
@Y-IDC,"Takuya high diff imo 
And welcome back 🗿🥂","Takuya high diff imo 
And welcome back 🗿🥂",0.4588,Positive
@goofyahhminor,"W take, i think deception goes to Nagumo

Fabrication - Nagumo
Info control - Nagumo
Misdirection - Nagumo
Concealment - Takuya

Altho i would say that this evaulation is mostlikely because i havent read the doc for Takuya recently, and i just recently reread the Nagumo doc so idk","W take, i think deception goes to Nagumo

Fabrication - Nagumo
Info control - Nagumo
Misdirection - Nagumo
Concealment - Takuya

Altho i would say that this evaulation is mostlikely because i havent read the doc for Takuya recently, and i just recently reread the Nagumo doc so idk",-0.5812,Negative
@PreguicaDeCriarNome,W bro,W bro,0.0,Neutral
@cometodespair,"Very great diff!!!!
W","Very great diff!!!!
W",0.7623,Positive
@Avery_casyrdark,Tbh yagami's Overall EI and nagumo's are close for me,Tbh yagami's Overall EI and nagumo's are close for me,0.0,Neutral
@kirigirithegoat,W take,W take,0.0,Neutral
@productions19749,Yumeko victims,Add victims,-0.3182,Negative
@yogurt-chan,I'll be original and say Nagumo takes FSIQ EI strategy 🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓,I'll be original and say Nagumo takes FSIQ EI strategy 🤓🤓🤓🤓🤓🤓🤓🤓🤓🤓,-0.9403,Negative
@StephanieDolaMyWife,"Peak edit and Take
Takuya takes thinking imo 
Other than that i probably agree with everything","Peak edit and Take
Takuya takes thinking imo 
Other than that i probably agree with everything",0.3612,Positive
@Hyoriin.,"W edit and take, Takuya takes Thinking imo","W edit and take, Takuya takes Thinking imo",0.0,Neutral
@mymyth_,Big W 🗣,Big W 🗣,0.0,Neutral
@rantranger,Cant believe Takuya would destroy his own saviour Dax like this 😔,Cant believe Takuya would destroy his own saviour Dax like this 😔,-0.1593,Negative
@soggyedits9890,W edit + both are Yuuichi victims 👽,W edit + but ar,0.0,Neutral
@JayChef__,Amazing edit + valid take (I have it lower tho 😬),Amazing edit + valid take (I have it lower tho 😬),0.0516,Positive
@someone97654,manipulation distribution?,manipulation distribution?,-0.296,Negative
@MR-PERMIOS,"Common W edit from mystic
And diff is a little bit lower","Common W edit from mystic
And diff is a little bit lower",-0.2315,Negative
@rattischanging,Takuya high diffs.,Takuya high diffs.,0.0,Neutral
@TheBayHarborrButcherr,Takuya takes SQ & overall foresight imo & High Diffs,Takuya takes SQ & overall foresight imo & High Diffs,0.0,Neutral
@Hariz401,"Massive W,Takuya high diff at best for me,Nagumo takes thinking is interesting to me,anyways,W take too","Massive W,Takuya high diff at best for me,Nagumo takes thinking is interesting to me,anyways,W take too",0.7845,Positive
@SerendipitousProvidence,"Gargantuan W, two of my fav characters.","Gargantuan W, two of my fav characters.",0.4588,Positive
@scan1mid282,🔥 edit,🔥 edit,-0.34,Negative
@XorPaw_Edits,"i'll parrot everyone else and say thk to takuya
also, foresight... did you give him that bc of his y2v4 obviation and anticipation of kiyo's strategy?

diff lower","i'll parrot everyone else and say thk to takuya
also, foresight... did you give him that bc of his y2v4 obviation and anticipation of kiyo's strategy?

diff lower",-0.2023,Negative
@DavidKokora-tu1sk,"I always wondered why people think Yagami and Nagumo are trash.  

I mean, people have the unfortunate tendency to compare them to number 1s. While they already have impressive abilities.","I always wondered why people think Yagami and Nagumo are trash.  

I mean, people have the unfortunate tendency to compare them to number 1s. While they already have impressive abilities.",0.3818,Positive
@Hactofly,"manipulation to takuya?
W edit mystic","manipulation to takuya?
W edit mystic",-0.296,Negative
@Aki_Observer,Amazing edit and goated takes🔥,Amazing edit and goated takes🔥,0.34,Positive
@tenmaamaoasknfapo,"Smooth edit, dubs","Smooth edit, dubs",0.0,Neutral
@Mreditsdk,Lower diff+peak,Lower diff+peak,-0.296,Negative
@partyvietnamcommunist4829,"Can I have the texts pls? The “Very high diff” and the “Nagumo Miyabi, Takuya Yagami” one




Make Yuuichi neg diff mid tiers Kakegurui characters fast","Can I have the texts pls? The “Very high diff” and the “Nagumo Miyabi, Takuya Yagami” one




Make Yuuichi neg diff mid tiers Kakegurui characters fast",0.0772,Positive
@DrRelevant2006,Great edit and take,Great edit and take,0.6249,Positive
@Paxley_Violet,"Imo Takuya takes Thinking and Foresight and diff should be lower, W vid","Imo Takuya takes Thinking and Foresight and diff should be lower, W vid",-0.296,Negative
@Ranposano,W edit ☕️,W edit ☕️,0.0,Neutral
@Caqueee,"W bro 🔥🔥🎲
Thinking to Nagumo?","W bro 🔥🔥🎲
Thinking to Nagumo?",-0.8271,Negative
@Masterpiece078,"Bro is finally back 🎉
Anyways W edit☕
How thinking goes to nagumo?","Bro is finally back 🎉
Anyways W edit☕
How thinking goes to nagumo?",0.4019,Positive
@dracyelyes8043,"High diff + 
W edit btw","High diff + 
W edit btw",0.0,Neutral
@endur_,"I dont really know how Thinking went to Nagumo unless you use very specific categories.

Things like Critical, Abstract, Associative, Application and Lateral all go to Takuya without much difficulty

As for Foresight, giving Anticipation to Nagumo is fine but Takuya gaps a lot harder in LP therefore netting him Overall Foresight.

Diff should be lower.

Good edit though and glad you are back 👍","I dont really know how Thinking went to Nagumo unless you use very specific categories.

Things like Critical, Abstract, Associative, Application and Lateral all go to Takuya without much difficulty

As for Foresight, giving Anticipation to Nagumo is fine but Takuya gaps a lot harder in LP therefore netting him Overall Foresight.

Diff should be lower.

Good edit though and glad you are back 👍",0.8388,Positive
@DAX-PMFT,"We're so back 🗣️🗣️

Difficulty is lower, High-Very High Diff imo","We're so back 🗣️🗣️

Difficulty is lower, High-Very High Diff imo",-0.5574,Negative
